text,difficulty
"Variables, simple data types, print statements, and basic input output in Python.",beginner
"A Python list stores ordered values and can be changed with append remove and indexing.",beginner
"If else statements choose different code paths from simple true or false conditions.",beginner
"For loops repeat an action over a list, string, or range of numbers.",beginner
"A function groups reusable Python code with parameters and a return value.",beginner
"HTML headings paragraphs links and images create the basic structure of a web page.",beginner
"CSS colors fonts margins and padding change how a web page looks.",beginner
"SQL select from where retrieves rows from a single database table.",beginner
"A primary key uniquely identifies a row in a simple database table.",beginner
"Mean median and mode summarize the center of a small dataset.",beginner
"A variable stores a value that can be used later in a program.",beginner
"Basic arithmetic operators add subtract multiply divide and calculate remainders.",beginner
"A web form collects user input and sends it to a server.",beginner
"A table contains rows and columns for storing structured data.",beginner
"A probability value describes how likely a simple event is to happen.",beginner
"Lists tuples dictionaries and sets store collections of values in Python.",beginner
"A browser sends an HTTP request and receives a response from a web server.",beginner
"A matrix is a rectangular arrangement of numbers with rows and columns.",beginner
"Linear equations with one variable can be solved by isolating the unknown.",beginner
"A basic chart shows values so patterns are easier to see.",beginner
"Nested loops, file handling, exceptions, and modules require combining several Python concepts.",intermediate
"Object oriented programming uses classes objects methods inheritance and encapsulation.",intermediate
"List comprehensions and lambda functions make data transformations shorter but less obvious.",intermediate
"Database joins combine rows from multiple related tables using primary and foreign keys.",intermediate
"Group by and aggregate functions summarize database records by category.",intermediate
"Normalization reduces duplicated database data by splitting entities into related tables.",intermediate
"REST APIs use endpoints methods JSON request bodies and response status codes.",intermediate
"Authentication and authorization control user identity and permissions in a web app.",intermediate
"Responsive design adapts layouts across mobile tablet and desktop screens.",intermediate
"Linear regression fits a line to predict a continuous target variable.",intermediate
"K nearest neighbor classifies data points using distance to labeled examples.",intermediate
"K means clustering groups unlabeled samples around cluster centroids.",intermediate
"Naive Bayes estimates class probabilities from word frequencies and class priors.",intermediate
"Train test split evaluates whether a model can generalize to unseen examples.",intermediate
"Accuracy precision recall and f1 score describe classification performance.",intermediate
"Confusion matrix analysis shows which classes are commonly mistaken.",intermediate
"Derivatives measure how quickly a function changes at a point.",intermediate
"Integrals calculate accumulated quantity or area under a curve.",intermediate
"Variance and standard deviation measure how spread out data values are.",intermediate
"Feature scaling helps distance based algorithms compare numeric variables fairly.",intermediate
"Regularization, cross validation, and hyperparameter tuning reduce overfitting risk.",advanced
"Gradient descent optimizes model parameters by following the negative gradient of a loss function.",advanced
"Multinomial Naive Bayes uses log probabilities and Laplace smoothing to avoid zero likelihoods.",advanced
"Cosine similarity compares sparse text vectors by their direction rather than their length.",advanced
"Model serialization stores trained parameters so prediction can run without retraining.",advanced
"A many to many relationship needs a junction table and careful constraint design.",advanced
"Transaction isolation levels affect concurrency, locking, and data consistency.",advanced
"Query optimization uses indexes execution plans and selectivity to reduce database cost.",advanced
"Backend file upload pipelines must validate file type size temporary storage and cleanup.",advanced
"Stateful Streamlit applications rerun scripts while preserving selected session variables.",advanced
"A classifier can overfit when feature space grows quickly with n gram text features.",advanced
"Cross validation across several folds gives a more stable estimate than one train test split.",advanced
"Bias variance tradeoff explains how model complexity affects training and test errors.",advanced
"Partial derivatives and gradients generalize derivative ideas to multivariable functions.",advanced
"Matrix inverse, determinant, eigenvectors, and vector spaces support linear algebra models.",advanced
